"month","Mkt.RF","SMB","HML","RMW","CMA","RF","MOM","LIQ.agg","LIQ.innov","LIQ.v","NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Lo10","Dec2","Dec3","Dec4","Dec5","Dec6","Dec7","Dec8","Dec9","Hi10"
"197004",-11,-6.29,6.39,-0.98,5.89,0.5,-0.73,-0.094261287,-0.02843063,0.040201197,-13.52,-18.55,-15.33,-18.39,-21.51,-14.99,-16.96,-17.07,-6.51,-18.14,-19.08,-17.02,-17.39,-17.04,-15.04,-14.78,-13.36,-11.78,-10.84,-9.29
"197005",-6.92,-4.41,3.63,-1.38,3.63,0.53,-2.68,-0.240558562,-0.19596306,-0.077147995,-9.07,-9.35,-9.32,-3.16,-10.57,-8.32,-10.88,-10.36,-5.46,-9.37,-8.84,-9.51,-9.05,-11.12,-10.41,-10.08,-9.75,-8.92,-6.9,-6.03
"197006",-5.79,-2.15,0.79,0.01,2.84,0.58,5.78,-0.187612336,-0.136577874,-0.033266361,-6.71,-9.23,-7.92,-5.97,-11.3,-4.27,-6.64,-5.75,-3.98,-8.22,-8.39,-9.62,-8.38,-9.5,-6.33,-7.37,-6.13,-4.58,-5.33,-5.03
"197007",6.93,-0.68,1.05,-0.14,2.04,0.52,-2.94,-0.013782635,0.064857525,-0.002497175,5.76,8.37,4.8,16.29,-0.32,8.7,6.7,4.16,7.18,6.04,3.4,5.85,7.25,7.26,8.52,6.77,8.39,8.69,7.33,7.28
"197008",4.49,1.54,1.08,0.66,-0.14,0.53,-6.49,-0.066604502,0.007929017,0.000257556,5.03,8.67,5.96,8.64,8.13,4.5,4.88,4.87,3.98,7.25,6.04,6.7,8.19,6.81,5.92,7.43,5.58,6.26,5.69,3.73
"197009",4.18,8.49,-5.5,0.38,-5.92,0.54,-8.92,-0.066822888,-0.013064864,-0.01664897,13.24,13.7,12.04,11.48,21.7,10.54,13.71,12.19,0.77,13.46,17.8,14.29,14.96,12.23,9.17,10.21,7.58,6.74,4.37,3.01
"197010",-2.28,-4.47,0.21,1.88,2.42,0.46,9.61,0.096239916,0.097485365,-0.015394011,-3.61,-7.41,-6.81,-0.93,-13.46,-3.66,-5.09,-4.42,-0.58,-6.61,-8.73,-6.48,-6.32,-4.1,-4.77,-4.14,-3.93,-3.35,-2.1,-1.49
"197011",4.59,-4.01,1.69,1.69,1.57,0.46,2.88,-0.059825074,-0.045441965,-0.00483046,0.19,-0.16,-0.57,2.27,-3.6,2.23,0.01,-0.25,8.79,0.22,-4.6,-0.57,1.64,2.88,3.41,3.97,4.66,5.23,6.35,4.79
"197012",5.72,2.99,0.98,0.08,0.3,0.42,-2.21,-0.073008798,-0.013776503,0.048682921,12.11,9,8.76,2.21,4.74,6.67,10.99,9.09,6.75,6.88,8.27,9.59,8.05,9.14,8.58,8.63,9.08,8.31,6.79,6.23
"197101",4.84,7.57,1.35,-2.03,-0.17,0.38,-6.59,0.017755938,0.044013591,-0.046709163,13.85,13.99,13.54,8.72,18.91,10.31,15.04,8.44,4.81,16.15,21.1,13.3,13.72,10.41,10,7.78,7.35,7.58,5.26,4.07
"197102",1.41,2.04,-1.34,0.54,-0.76,0.33,0.81,-0.064480661,-0.036446598,-0.011862921,9.47,5.52,4.21,3.6,5.03,1.98,5.81,6.85,-1.98,3.96,8.23,5.01,2.14,3.94,2.75,2.69,1.8,2.53,1,1.39
"197103",4.13,2.16,-3.99,2.01,-2.75,0.3,-1.22,0.031698493,0.063681011,0.015863635,4.09,5.15,4.62,2.65,9.64,7.78,9.05,4.64,1.74,6.09,6.14,5.67,5.15,5.24,7.13,5.56,4.83,5.01,3.3,4.15
"197104",3.15,-0.36,0.74,-1.41,0.75,0.28,1.31,-0.009982746,0.007375275,0.027683706,0.79,5.09,3.49,3.09,3.35,3.06,1.77,4.08,-2.47,3.72,1.51,2.72,3.12,3.28,4.3,4.16,3.75,3.44,2.92,3.13
"197105",-3.98,-1.18,-1.37,1.29,0.28,0.29,0.88,-0.019406459,-0.025126596,0.011454419,-4.79,-5.48,-5.14,-5.74,-6.14,-3.55,-4.76,-0.49,-3.48,-5.79,-6.58,-5.04,-5.66,-4.5,-4.43,-3.74,-2.56,-4.09,-2.73,-3.44
"197106",-0.1,-1.45,-2,1.49,-1.74,0.37,2.7,-0.044140681,-0.011130637,-0.029699577,-3.14,-0.06,-2.65,-0.43,-3.54,-0.64,-1.24,-0.5,2.44,-1.66,-3.55,-1.81,-2.76,0.28,-1.35,-1.63,-0.08,0.61,0.56,0.76
"197107",-4.5,-1.4,0.17,0.51,1.62,0.4,-2.36,-0.101409812,-0.031876724,0.001183329,-5.55,-7.53,-5.55,-2.8,-9.61,-4.11,-5.5,-6.1,-0.93,-5.81,-6.75,-6.5,-5.54,-5.37,-3.68,-5.75,-4.13,-4.73,-3.69,-3.92
